Accepted Symbol,Synonym Symbol,Scientific Name,Growth Habit,Invasive,Bloat,C:N Ratio,Coppice Potential,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Fodder Product,Palatable Browse Animal,Palatable Graze Animal,Protein Potential
ABELI,,Abelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR4,,Abelia ×grandiflora,Shrub,,None,High,No,Rapid,6,6,Moderate,None,Yes,Yes,No,Medium,5.7,7,1700,28,60,12,Tolerant,-13,Routinely Available,No,No,Low,,Low
ABELM,,Abelmoschus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABES,,Abelmoschus esculentus,"Subshrub, Forb/herb",SWSS,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA9,,Abelmoschus manihot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO,,Abelmoschus moschatus,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIES,,Abies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL3,,Abies alba,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM,,Abies amabilis,Tree,,None,High,No,Slow,20,165,Long,None,Yes,Yes,Yes,Medium,3.3,6,700,38,260,36,Tolerant,-28,Routinely Available,Yes,No,Low,,
ABBA,,Abies balsamea,Tree,,None,High,No,Slow,18,60,Short,None,Yes,Yes,Yes,Medium,4,6,1200,13,60,20,Tolerant,-43,Routinely Available,Yes,No,Medium,,Low
ABBAB,,Abies balsamea var. balsamea,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBAP,,Abies balsamea var. phanerolepis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR,,Abies bracteata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCO,,Abies concolor,Tree,,None,High,No,Slow,20,120,Long,None,Yes,Yes,No,Medium,5.5,7.8,1200,18,80,40,Intermediate,-38,Routinely Available,Yes,No,Low,,Low
ABFI,,Abies firma,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR,,Abies fraseri,Tree,,None,High,No,Moderate,20,55,Moderate,None,Yes,Yes,No,Medium,3.5,5.5,1200,45,100,6,Tolerant,-23,Routinely Available,Yes,No,Low,,Low
ABGR,,Abies grandis,Tree,,None,High,No,Moderate,25,150,Long,None,Yes,Yes,No,Medium,4.5,7.5,1200,11,100,20,Tolerant,-33,Field Collections Only,Yes,No,Low,,Low
ABGU,,Abies guatemalensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHO,,Abies homolepis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA,,Abies lasiocarpa,Tree,,None,High,No,Slow,15,90,Long,None,Yes,Yes,No,Medium,4,6.5,1200,20,150,40,Tolerant,-51,Routinely Available,Yes,No,Low,,Low
ABLAA,,Abies lasiocarpa var. arizonica,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLAL,,Abies lasiocarpa var. lasiocarpa,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLO,,Abies lowiana,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA,,Abies magnifica,Tree,,None,High,No,Slow,35,150,Long,None,Yes,Yes,No,Medium,5,6.1,1200,33,64,20,Tolerant,-23,Contracting Only,Yes,No,Low,Low,Low
ABMAM,,Abies magnifica var. magnifica,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMAS,,Abies magnifica var. shastensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR,,Abies procera,Tree,,None,High,No,Rapid,25,230,Long,None,Yes,Yes,No,Low,6,7.5,1200,64,120,20,Intermediate,-23,Contracting Only,Yes,No,Low,Low,Low
ABVE2,,Abies veitchii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIET,,Abietinella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB70,,Abietinella abietina,Nonvascular,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILD,,Abildgaardia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABOV,,Abildgaardia ovata,Graminoid,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRON,,Abronia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAL,,Abronia alpina,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM2,,Abronia ameliae,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAM3,,Abronia ammophila,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAN,,Abronia angustifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAR,,Abronia argillosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBI,,Abronia bigelovii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBO,,Abronia bolackii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCA,,Abronia carletonii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEL,,Abronia elliptica,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR2,,Abronia fragrans,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR2,,Abronia gracilis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN2,,Abronia insularis,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABLA2,,Abronia latifolia,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA5,,Abronia macrocarpa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA2,,Abronia maritima,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME,,Abronia mellifera,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMI2,,Abronia minor,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNA,,Abronia nana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAC,,Abronia nana var. covillei,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAH,,Abronia nana var. harrisii,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNAN,,Abronia nana var. nana,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABNE,,Abronia neurophylla,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPO,,Abronia pogonantha,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTU,,Abronia turbinata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUM,,Abronia umbellata,"Forb/herb, Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMB,,Abronia umbellata ssp. breviflora,"Forb/herb, Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUMU,,Abronia umbellata ssp. umbellata,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVI,,Abronia villosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVIA,,Abronia villosa var. aurita,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABVIV,,Abronia villosa var. villosa,Forb/herb,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABROT,,Abrothallus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBE2,,Abrothallus bertianus,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBR3,,Abrothallus bryoriarum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCE,,Abrothallus cetrariae,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCL,,Abrothallus cladoniae,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA5,,Abrothallus parmeliarum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPE2,,Abrothallus peyritschii,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR5,,Abrothallus prodiens,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABWE,,Abrothallus welwitschii,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRUS,,Abrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPR3,,Abrus precatorius,Vine,FLEPPC,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSCO,,Absconditella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSP,,Absconditella sphagnorum,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTR3,,Absconditella trivialis,Lichenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABUTI,,Abutilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAB,,Abutilon abutiloides,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABAU,,Abutilon auritum,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBE,,Abutilon berlandieri,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABER,,Abutilon eremitopetalum,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABFR3,,Abutilon fruticosum,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGL,,Abutilon glabriflorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABGR3,,Abutilon grandifolium,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHI,,Abutilon hirtum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHU,,Abutilon hulseanum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABHY,,Abutilon hypoleucum,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN,,Abutilon incanum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABIN3,,Abutilon indicum,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABINA,,Abutilon indicum ssp. albescens,Subshrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA3,,Abutilon malacum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMA8,,Abutilon mauritianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME3,,Abutilon megapotamicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABME2,,Abutilon menziesii,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABMO2,,Abutilon mollicomum,"Subshrub, Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA,,Abutilon palmeri,"Shrub, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA2,,Abutilon parishii,"Subshrub, Shrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPA3,,Abutilon parvulum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABPE,,Abutilon permolle,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRE,,Abutilon reventum,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABSA2,,Abutilon sandwicense,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH,,Abutilon theophrasti,Forb/herb,"KY, N'EAST, NE&GP, STATE, SWSS, WSWS",,,,,,,,,,,,,,,,,,,,,,,,,,
ABTH2,,Abutilon thurberi,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABTR,,Abutilon trisulcatum,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ABWR,,Abutilon wrightii,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACI,,Acacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAB2,,Acacia abyssinica,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACABC2,,Acacia abyssinica ssp. calophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC7,,Acacia acinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC8,,Acacia aciphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC9,,Acacia aculeatissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAC10,,Acacia acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAD,,Acacia adunca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAL16,,Acacia alata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAM9,,Acacia ampliceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN4,,Acacia anegadensis,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN10,,Acacia aneura,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAN,,Acacia angustissima,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANC,,Acacia angustissima var. chisosiana,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANH,,Acacia angustissima var. hirta,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANL,,Acacia angustissima var. leucothrix,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANS,,Acacia angustissima var. shrevei,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACANS2,,Acacia angustissima var. suffrutescens,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAR12,,Acacia arenaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAU,,Acacia auriculiformis,"Tree, Shrub",FLEPPC,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBA,,Acacia baileyana,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE6,,Acacia beckleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBE,,Acacia berlandieri,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBI5,,Acacia binervata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBO4,,Acacia boomanii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBR3,,Acacia brachybotrya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACBU3,,Acacia buxifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA23,,Acacia caesiella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA24,,Acacia calamifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA25,,Acacia cambagei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA27,,Acacia cardiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA21,,Acacia catechu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCA35,,Acacia caven,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH8,,Acacia chinchillensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCH,,Acacia choriophylla,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCI6,,Acacia cibaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO15,,Acacia cognata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO16,,Acacia colletioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO24,,Acacia collinsii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO,,Acacia confusa,Tree,HEAR,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO17,,Acacia conspersa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO2,,Acacia constricta,"Tree, Shrub",,None,Medium,No,Slow,6,9,Moderate,Low,Yes,Yes,No,Low,7,8.5,700,4,20,12,Intolerant,-13,Field Collections Only,Yes,No,Low,,Medium
ACCOC,,Acacia constricta var. constricta,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCOP9,,Acacia constricta var. paucispina,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO18,,Acacia continua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCO5,,Acacia cornigera,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCR2,,Acacia craspedocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCU4,,Acacia cultriformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCU5,,Acacia cupularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCY2,,Acacia cyclops,Shrub,,None,High,Yes,Rapid,12,12,Short,Medium,Yes,Yes,Yes,Medium,6,8.3,1200,16,40,18,Intolerant,14,Field Collections Only,Yes,No,Low,,Low
ACDA5,,Acacia davyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE3,,Acacia dealbata,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE11,,Acacia deanei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDEP2,,Acacia deanei ssp. paucijuga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE12,,Acacia decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDE,,Acacia decurrens,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI7,,Acacia dietrichiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDI8,,Acacia difformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDO2,,Acacia doratoxylon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDR2,,Acacia drummondii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACDU3,,Acacia dunnii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEB2,,Acacia eburnea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEL,,Acacia elata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEM,,Acacia ×emoryana,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER4,,Acacia erioloba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACER5,,Acacia erubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACES2,,Acacia estrophiolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACEX3,,Acacia extensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFA,,Acacia farnesiana,"Tree, Shrub",HEAR,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFI4,,Acacia fimbriata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACFL6,,Acacia floribunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGA3,,Acacia galpinii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGE8,,Acacia genistifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGE7,,Acacia gerrardii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL5,,Acacia gladiiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL6,,Acacia glandulicarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGL4,,Acacia glauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGO2,,Acacia goetzei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR9,,Acacia gracilifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGR,,Acacia greggii,"Tree, Shrub",,None,Medium,No,Slow,15,20,Long,None,Yes,Yes,Yes,Low,6.5,8.5,700,3,20,12,Intolerant,-13,Field Collections Only,Yes,No,Medium,,Medium
ACGRG3,,Acacia greggii var. greggii,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACGRW,,Acacia greggii var. wrightii,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHA4,,Acacia hakeoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE8,,Acacia hebeclada,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHE12,,Acacia hemiteles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHO2,,Acacia holosericea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHO4,,Acacia horrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHO5,,Acacia howittii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIM4,,Acacia imbricata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIM5,,Acacia implexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIR,,Acacia irrorata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIT2,,Acacia iteaphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACIX2,,Acacia ixiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACJI,,Acacia jibberdingensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACJO2,,Acacia jonesii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKA2,,Acacia karroo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKO,,Acacia koa,Tree,,None,Low,No,Moderate,100,110,Long,High,Yes,Yes,Yes,Medium,5,7,700,50,200,30,Intolerant,31,Routinely Available,Yes,No,High,,
ACKO2,,Acacia koaia,Tree,,None,Low,No,Rapid,60,40,Long,High,Yes,Yes,No,,4,7.4,640,33,200,36,Intolerant,25,,Yes,No,Low,Low,
ACLA10,,Acacia lanuginophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLA6,,Acacia lasiocalyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLE7,,Acacia leiophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLI8,,Acacia ligulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLI5,,Acacia lineata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLO,,Acacia longifolia,"Tree, Shrub",,None,High,Yes,Rapid,20,20,Short,Medium,Yes,Yes,Yes,Medium,6,8.3,1200,16,40,24,Intolerant,14,Routinely Available,Yes,No,Low,,Low
ACLOS3,,Acacia longifolia ssp. sophorae,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACLO8,,Acacia longissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA,,Acacia macracantha,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA11,,Acacia maidenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMA12,,Acacia mangium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME80,,Acacia mearnsii,"Tree, Shrub","HEAR, STATE",,,,,,,,,,,,,,,,,,,,,,,,,,
ACME,,Acacia melanoxylon,Tree,HEAR,None,High,Yes,Rapid,40,40,Short,Medium,Yes,Yes,Yes,Medium,6,8.3,1200,16,40,28,Intolerant,14,No Known Source,Yes,No,Low,,Low
ACME8,,Acacia mellifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMED,,Acacia mellifera ssp. detinens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME6,,Acacia merrallii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMI5,,Acacia microbotrya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMI6,,Acacia microcarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMI,,Acacia millefolia,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMO9,,Acacia montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU6,,Acacia mucronata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU7,,Acacia multispicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMU,,Acacia muricata,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMY2,,Acacia myrtifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE4,,Acacia neovernicosa,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE8,,Acacia neriifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI8,,Acacia nigrescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNI2,,Acacia nilotica,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNIA3,,Acacia nilotica ssp. adstringens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNIK2,,Acacia nilotica ssp. kraussiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNO5,,Acacia notabilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOM,,Acacia omalophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOS2,,Acacia oswaldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACOX3,,Acacia oxycedrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA15,,Acacia pachyceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPAN,,Acacia pachyceras var. najdensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA16,,Acacia papyrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA8,,Acacia paradoxa,Shrub,STATE,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA81,,Acacia parramattensis,Tree,HEAR,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPA9,,Acacia parvipinnula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE8,,Acacia pendula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE9,,Acacia pennatula,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE10,,Acacia penninervis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPE11,,Acacia pentagona,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPI,,Acacia pinetorum,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO2,,Acacia podalyriifolia,Tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPO3,,Acacia polyacantha,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPOC2,,Acacia polyacantha ssp. campylacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPR6,,Acacia pravissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPR3,,Acacia prominens,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPR4,,Acacia pruinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPU3,,Acacia pulchella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPY3,,Acacia pycnantha,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPY4,,Acacia pyrifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACQU2,,Acacia quornensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRA5,,Acacia ramulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE9,,Acacia redolens,Shrub,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE8,,Acacia rehmanniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE2,,Acacia retinodes,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRE4,,Acacia retusa,"Tree, Shrub, Vine",,,,,,,,,,,,,,,,,,,,,,,,,,,
